School,Division,Team,City,State,Primary Conference
Adrian College,D3,Bulldogs,Adrian,Michigan,Michigan Intercollegiate Athletic Association
Agnes Scott College,D3,Scotties,Decatur,Georgia,USA South Athletic Conference
Albertus Magnus College,D3,Falcons,New Haven,Connecticut,Great Northeast Athletic Conference
Albion College,D3,Britons,Albion,Michigan,Michigan Intercollegiate Athletic Association
Albright College,D3,Lions,Reading,Pennsylvania,MAC Commonwealth Conference
Alfred University,D3,Saxons,Alfred,New York,Empire 8
Alfred State College,D3,Pioneers,Alfred,New York,American Collegiate Athletic Association(Allegheny Mountain Collegiate Conference in 2019)
Allegheny College,D3,Gators,Meadville,Pennsylvania,North Coast Athletic Conference
Alma College,D3,Scots,Alma,Michigan,Michigan Intercollegiate Athletic Association
Alvernia University,D3,Golden Wolves,Reading,Pennsylvania,MAC Commonwealth Conference
Alverno College,D3,Inferno,Milwaukee,Wisconsin,Northern Athletics Collegiate Conference
Amherst College,D3,Mammoths,Amherst,Massachusetts,New England Small College Athletic Conference
Anderson University,D3,Ravens and Lady Ravens,Anderson,Indiana,Heartland Collegiate Athletic Conference
Anna Maria College,D3,AMCATS,Paxton,Massachusetts,Great Northeast Athletic Conference
Arcadia University,D3,Knights,Glenside,Pennsylvania,MAC Commonwealth Conference
Augsburg University,D3,Auggies,Minneapolis,Minnesota,Minnesota Intercollegiate Athletic Conference
Augustana College,D3,Vikings,Rock Island,Illinois,College Conference of Illinois and Wisconsin
Aurora University,D3,Spartans,Aurora,Illinois,Northern Athletics Collegiate Conference
Austin College,D3,Kangaroos,Sherman,Texas,Southern Collegiate Athletic Conference
Averett University,D3,Cougars,Danville,Virginia,USA South Athletic Conference
Babson College,D3,Beavers,Wellesley,Massachusetts,New England Women's and Men's Athletic Conference
Baldwin Wallace University,D3,Yellow Jackets,Berea,Ohio,Ohio Athletic Conference
Bard College,D3,Raptors,Annandale-on-Hudson,New York,Liberty League
Baruch College,D3,Bearcats,New York,New York,City University of New York Athletic Conference
Bates College,D3,Bobcats,Lewiston,Maine,New England Small College Athletic Conference
Bay Path University,D3,Wildcats,Longmeadow,Massachusetts,New England Collegiate Conference
Becker College,D3,Hawks,Worcester/Leicester,Massachusetts,New England Collegiate Conference
Belhaven University,D3,Blazers,Jackson,Mississippi,American Southwest Conference
Beloit College,D3,Buccaneers,Beloit,Wisconsin,Midwest Conference
Benedictine University,D3,Eagles,Lisle,Illinois,Northern Athletics Collegiate Conference
Berea College,D3,Mountaineers,Berea,Kentucky,USA South Athletic Conference
Berry College,D3,Vikings,Mount Berry,Georgia,Southern Athletic Association
Bethany College,D3,Bison,Bethany,West Virginia,Presidents' Athletic Conference
Bethany Lutheran College,D3,Vikings,Mankato,Minnesota,Upper Midwest Athletic Conference
