Gender,Year,Divison,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls,GP,Win,Loss,OREB%,DREB%,POSS,opp_POSS,AST%,PPP,opp_PPP,eFG%,opp_eFG%,TOV%,FTr,3PAr,STL%,BLK%,ORtg,DRtg,NetRtg
Women,2016,D1,Saint Louis,27,66,6,18,16,18,76,15,31,46,21,16,3,3,19,26,64,6,16,20,25,78,9,24,33,16,9,8,7,14,1,0,1,0.38,0.78,75.55,75.875,0.7777777777777778,1.0059563203176705,1.028006589785832,0.45454545454545453,0.453125,0.21178027796161483,0.2727272727272727,0.2727272727272727,0.039538714991762765,0.046875,100.59563203176705,102.80065897858319,-2.205026946816133
Men,2016,D1,Kansas,164,319,53,109,105,142,486,50,165,215,88,89,36,29,134,138,353,23,91,113,168,412,79,126,205,51,74,57,15,137,6,5,1,0.28,0.68,425.45,427.8,0.5365853658536586,1.1423198965800916,0.9630668536699392,0.5971786833855799,0.4235127478753541,0.2091902691268069,0.445141065830721,0.34169278996865204,0.08415147265077139,0.0821529745042493,114.23198965800916,96.30668536699392,17.925304291015237
Women,2016,D2,Northern St.,74,174,8,39,41,59,197,37,86,123,45,43,15,10,47,64,176,32,87,30,38,190,28,76,104,42,40,22,9,64,3,1,2,0.33,0.75,208.025,206.05,0.6081081081081081,0.9470015623122221,0.9221062848823101,0.4482758620689655,0.45454545454545453,0.2067059247686576,0.3390804597701149,0.22413793103448276,0.07279786459597185,0.056818181818181816,94.70015623122221,92.21062848823101,2.4895277429912
Men,2016,D1,Southern California,123,274,41,94,61,88,348,44,104,148,62,43,27,28,81,130,283,35,91,61,84,356,61,118,179,61,53,20,24,78,4,2,2,0.27,0.63,314.8,314.9,0.5040650406504065,1.1054637865311308,1.1305176246427437,0.5237226277372263,0.5212014134275619,0.1365946632782719,0.32116788321167883,0.34306569343065696,0.08574150523975865,0.0989399293286219,110.54637865311308,113.05176246427438,-2.5053838111612947
Men,2017,D3,Union (NY),29,72,10,30,23,31,91,16,34,50,14,10,5,4,21,24,60,9,27,20,25,77,5,33,38,9,11,6,2,26,1,1,0,0.33,0.87,80.725,77.875,0.4827586206896552,1.1272839888510375,0.9887640449438202,0.4722222222222222,0.475,0.12387736141220193,0.4305555555555556,0.4166666666666667,0.06420545746388442,0.06666666666666667,112.72839888510376,98.87640449438202,13.851994390721742
Men,2016,D2,Chaminade,126,257,46,117,82,111,380,48,111,159,60,54,20,6,98,127,271,41,118,85,114,380,49,101,150,60,47,18,8,88,4,1,3,0.32,0.69,315.725,323.15,0.47619047619047616,1.203579064058912,1.1759244932693795,0.5797665369649806,0.544280442804428,0.17103491962942433,0.43190661478599224,0.45525291828793774,0.06189076280365156,0.02214022140221402,120.35790640589119,117.59244932693795,2.765457078953233
Women,2016,D1,Montana St.,38,122,9,31,21,24,106,32,56,88,24,36,9,16,41,45,133,9,24,29,35,128,35,53,88,20,22,19,5,37,2,0,2,0.38,0.62,137.4,136.625,0.631578947368421,0.7714701601164483,0.9368709972552608,0.3483606557377049,0.37218045112781956,0.26200873362445415,0.19672131147540983,0.2540983606557377,0.06587374199451052,0.12030075187969924,77.14701601164484,93.68709972552608,-16.540083713881245
Women,2017,D1,UT Martin,33,71,14,26,14,17,94,12,20,32,19,9,16,4,18,30,55,16,27,7,11,83,8,27,35,16,24,2,5,18,1,1,0,0.31,0.71,76.075,76.225,0.5757575757575758,1.2356227407163982,1.0888816005247623,0.5633802816901409,0.6909090909090909,0.11830430496220834,0.23943661971830985,0.36619718309859156,0.20990488684814695,0.07272727272727272,123.56227407163982,108.88816005247624,14.674114019163582
Women,2017,D1,Texas,57,131,8,23,19,26,141,29,50,79,24,26,12,11,38,51,117,14,42,22,30,138,17,49,66,23,27,12,4,31,2,1,1,0.37,0.75,140.35,141.25,0.42105263157894735,1.0046312789454934,0.9769911504424779,0.46564885496183206,0.49572649572649574,0.1852511578197364,0.1984732824427481,0.17557251908396945,0.08495575221238938,0.09401709401709402,100.46312789454934,97.69911504424779,2.7640128503015546
Men,2017,D3,Bethesda (CA),36,74,10,35,9,16,91,13,27,40,12,18,4,3,29,34,72,8,18,32,46,108,18,29,47,17,9,11,1,17,1,0,1,0.31,0.6,86.6,84.85,0.3333333333333333,1.05080831408776,1.2728344136711844,0.5540540540540541,0.5277777777777778,0.20785219399538107,0.21621621621621623,0.47297297297297297,0.04714201532115498,0.041666666666666664,105.08083140877599,127.28344136711844,-22.20260995834245
Men,2016,D1,Ark.-Monticello,20,63,10,30,21,30,71,13,23,36,9,16,2,0,32,34,61,5,16,31,40,104,10,35,45,20,7,6,4,24,1,0,1,0.27,0.7,80.25,77.0,0.45,0.8847352024922118,1.3506493506493507,0.3968253968253968,0.5983606557377049,0.19937694704049844,0.47619047619047616,0.47619047619047616,0.025974025974025976,0.0,88.47352024922118,135.06493506493507,-46.59141481571389
Women,2017,D1,Fairleigh Dickinson,20,70,8,30,8,12,56,12,22,34,13,10,9,1,24,29,64,11,27,14,25,83,18,39,57,22,17,2,3,12,1,0,1,0.24,0.55,73.7,74.875,0.65,0.7598371777476255,1.1085141903171953,0.34285714285714286,0.5390625,0.13568521031207598,0.17142857142857143,0.42857142857142855,0.12020033388981637,0.015625,75.98371777476255,110.85141903171953,-34.86770125695698
Women,2017,D3,Whitworth,143,360,25,81,97,132,408,65,157,222,68,97,37,14,104,170,380,25,87,87,123,452,74,168,242,79,87,59,16,118,6,2,4,0.28,0.68,454.70000000000005,451.42499999999995,0.4755244755244755,0.8972949197272926,1.0012737442543058,0.43194444444444446,0.48026315789473684,0.21332746866065536,0.36666666666666664,0.225,0.08196267375533035,0.03684210526315789,89.72949197272926,100.12737442543059,-10.397882452701324
Women,2017,D1,Delaware St.,54,172,11,46,35,55,154,30,69,99,18,50,24,11,59,84,196,28,90,47,65,243,50,96,146,66,45,26,7,59,3,0,3,0.24,0.58,218.125,221.875,0.3333333333333333,0.7060171919770774,1.0952112676056338,0.34593023255813954,0.5,0.22922636103151864,0.31976744186046513,0.26744186046511625,0.10816901408450705,0.05612244897959184,70.60171919770774,109.52112676056338,-38.91940756285564
Men,2016,D3,LeTourneau,71,156,29,77,25,45,196,33,61,94,46,21,10,5,46,64,135,2,22,45,58,175,22,57,79,18,20,11,3,34,2,2,0,0.37,0.73,165.375,160.55,0.647887323943662,1.1851851851851851,1.0900031142946123,0.5480769230769231,0.48148148148148145,0.12698412698412698,0.28846153846153844,0.4935897435897436,0.06228589224540641,0.037037037037037035,118.5185185185185,109.00031142946122,9.518207089057285
Women,2017,D2,Fort Lewis,54,118,10,34,19,29,137,22,67,89,39,36,14,9,24,42,130,4,41,15,23,103,23,45,68,17,27,20,2,32,2,2,0,0.33,0.74,145.775,144.925,0.7222222222222222,0.9398044932258617,0.7107124374676557,0.5,0.3384615384615385,0.24695592522723375,0.2457627118644068,0.288135593220339,0.09660169052958426,0.06923076923076923,93.98044932258617,71.07124374676556,22.909205575820607
Women,2017,D1,Illinois St.,92,278,23,84,68,98,275,68,128,196,37,85,41,16,95,111,291,30,86,62,97,314,65,132,197,62,68,44,30,85,5,2,3,0.34,0.66,341.55,340.075,0.40217391304347827,0.8051529790660226,0.9233257369697861,0.3723021582733813,0.4329896907216495,0.24886546625677058,0.35251798561151076,0.302158273381295,0.12056164081452621,0.054982817869415807,80.51529790660226,92.33257369697861,-11.817275790376357
Women,2017,D1,Ohio St.,57,127,15,45,37,55,166,26,51,77,31,24,19,16,42,34,112,12,39,49,62,129,33,51,84,21,38,5,4,46,2,2,0,0.34,0.61,151.125,146.45,0.543859649122807,1.0984284532671629,0.8808467053601913,0.5078740157480315,0.35714285714285715,0.1588089330024814,0.4330708661417323,0.3543307086614173,0.1297371116421987,0.14285714285714285,109.84284532671629,88.08467053601913,21.758174790697154
Men,2017,D2,West Liberty,78,145,21,52,12,17,189,23,50,73,40,14,16,7,33,51,117,18,37,25,34,145,21,43,64,27,27,9,7,20,2,2,0,0.35,0.7,144.075,139.15,0.5128205128205128,1.3118167621030714,1.0420409629895795,0.6103448275862069,0.5128205128205128,0.09717161200763492,0.11724137931034483,0.3586206896551724,0.11498383039885016,0.05982905982905983,131.18167621030713,104.20409629895795,26.97757991134918
Women,2016,D1,Little Rock,44,105,6,18,27,36,121,26,42,68,20,26,24,6,35,26,81,6,29,19,26,77,16,38,54,15,43,8,6,35,2,2,0,0.41,0.72,122.1,120.35,0.45454545454545453,0.9909909909909911,0.6398005816368925,0.44761904761904764,0.35802469135802467,0.21294021294021295,0.34285714285714286,0.17142857142857143,0.19941836310760283,0.07407407407407407,99.0990990990991,63.98005816368924,35.11904093540986
Men,2016,D1,Appalachian St.,74,191,30,70,43,65,221,42,84,126,40,41,9,11,69,75,192,9,37,53,78,212,43,86,129,28,36,14,20,60,3,2,1,0.33,0.66,220.875,222.05,0.5405405405405406,1.0005659309564232,0.9547399234406665,0.46596858638743455,0.4140625,0.18562535370684777,0.3403141361256545,0.36649214659685864,0.04053141184417924,0.057291666666666664,100.05659309564233,95.47399234406664,4.582600751575683
Women,2017,D2,Shepherd,26,68,8,27,12,14,72,13,19,32,14,20,10,0,15,25,59,4,9,12,16,66,17,30,47,12,32,10,1,16,1,1,0,0.3,0.53,81.65,81.6,0.5384615384615384,0.8818126148193508,0.8088235294117647,0.4411764705882353,0.4576271186440678,0.24494794856093077,0.20588235294117646,0.39705882352941174,0.12254901960784315,0.0,88.18126148193508,80.88235294117648,7.298908540758603
Women,2016,D2,Central Wash.,206,489,39,125,103,143,554,96,198,294,128,134,75,28,161,223,496,53,147,118,159,617,97,194,291,129,135,87,21,160,9,2,7,0.33,0.67,594.925,609.525,0.6213592233009708,0.9312098163634073,1.0122636479225626,0.4611451942740286,0.5030241935483871,0.22523847543808045,0.29243353783231085,0.2556237218813906,0.12304663467454166,0.056451612903225805,93.12098163634073,101.22636479225626,-8.105383155915533
